,precision,recall,f1-score,support
daisy,0.8307692307692308,0.9310344827586207,0.8780487804878049,116.0
dandelion,0.9027027027027027,0.943502824858757,0.9226519337016574,177.0
roses,0.7650602409638554,0.900709219858156,0.8273615635179153,141.0
sunflowers,0.9649122807017544,0.873015873015873,0.9166666666666666,126.0
tulips,0.9496402877697842,0.7586206896551724,0.8434504792332268,174.0
accuracy,0.8773841961852861,0.8773841961852861,0.8773841961852861,0.8773841961852861
macro avg,0.8826169485814654,0.8813766180293158,0.8776358847214543,734.0
weighted avg,0.8866995375529648,0.8773841961852861,0.8774951153193274,734.0
